,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
309,Hot Fuzz,(2007),121 min,7.8,81        ,"489,502",$23.64M
310,Manchester by the Sea,(2016),137 min,7.8,96        ,"268,041",$47.70M
311,The Count of Monte Cristo,(2002),131 min,7.7,61        ,"134,890",$54.23M
312,Little Miss Sunshine,(2006),101 min,7.8,80        ,"461,624",$59.89M
313,Portrait of a Lady on Fire,(2019),122 min,8.1,95        ,"82,361",$3.76M
314,K.G.F: Chapter 1,(2018),156 min,8.3,-,"53,073",-
315,In Bruges,(2008),107 min,7.9,67        ,"408,815",$7.76M
316,Shaun of the Dead,(2004),99 min,7.9,76        ,"539,287",$13.54M
317,Man on Fire,(2004),146 min,7.7,47        ,"351,264",$77.91M
318,Amélie,(2001),122 min,8.3,69        ,"734,158",$33.23M
319,500 Days of Summer,(2009),95 min,7.6,76        ,"495,589",$32.39M
320,The Fugitive,(1993),130 min,7.8,87        ,"283,880",$183.88M
321,Captain Fantastic,(2016),118 min,7.9,72        ,"209,914",$5.88M
322,Memories of Murder,(2003),132 min,8.1,82        ,"166,191",$0.01M
323,Sense and Sensibility,(1995),136 min,7.7,84        ,"111,591",$43.18M
324,The Invisible Guest,(2016),106 min,8.1,-,"165,931",-
325,The Girl with the Dragon Tattoo,(2009),152 min,7.8,76        ,"214,241",$10.10M
326,The Machinist,(2004),101 min,7.7,61        ,"376,629",$1.08M
327,3 Idiots,(2009),170 min,8.4,67        ,"376,476",$6.53M
328,Dark Waters,(2019),126 min,7.6,73        ,"79,643",-
329,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"474,032",$0.28M
330,The Pursuit of Happyness,(2006),117 min,8.0,64        ,"484,988",$163.57M
331,The Game,(1997),129 min,7.7,61        ,"376,860",$48.32M
332,Halloween,(1978),91 min,7.7,87        ,"261,691",$47.00M
333,The Philadelphia Story,(1940),112 min,7.9,96        ,"67,387",-
334,The Lives of Others,(2006),137 min,8.4,89        ,"378,346",$11.29M
335,"Monsters, Inc.",(2001),92 min,8.1,79        ,"867,399",$289.92M
336,Rain Man,(1988),133 min,8.0,65        ,"496,549",$178.80M
337,In Cold Blood,(1967),134 min,7.9,89        ,"26,030",-
338,Singin' in the Rain,(1952),103 min,8.3,99        ,"233,184",$8.82M
339,Once Upon a Time in the West,(1968),165 min,8.5,80        ,"319,227",$5.32M
340,The Great Beauty,(2013),141 min,7.8,86        ,"87,387",$2.85M
341,Edward Scissorhands,(1990),105 min,7.9,74        ,"470,962",$56.36M
342,Saw,(2004),103 min,7.6,46        ,"404,231",$56.00M
343,The Last Samurai,(2003),154 min,7.7,55        ,"422,231",$111.11M
344,Blood Diamond,(2006),143 min,8.0,64        ,"528,382",$57.37M
345,Remember the Titans,(2000),113 min,7.8,48        ,"208,274",$115.65M
346,Young Frankenstein,(1974),106 min,8.0,80        ,"153,816",$86.30M
347,The Bridge on the River Kwai,(1957),161 min,8.1,87        ,"214,293",$44.91M
348,What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"229,087",$9.17M
349,Mary Poppins,(1964),139 min,7.8,88        ,"166,964",$102.27M
350,The Bourne Supremacy,(2004),108 min,7.7,73        ,"452,280",$176.24M
351,As Good as It Gets,(1997),139 min,7.7,67        ,"291,303",$148.48M
352,Crash,(I) (2004),112 min,7.7,66        ,"430,208",$54.58M
353,Big Hero 6,(2014),102 min,7.8,74        ,"438,915",$222.53M
354,How to Train Your Dragon,(2010),98 min,8.1,75        ,"706,560",$217.58M
355,Wonder,(I) (2017),113 min,8.0,66        ,"156,615",$132.42M
356,Primal Fear,(1996),129 min,7.7,47        ,"204,779",$56.12M
357,Life of Pi,(2012),127 min,7.9,79        ,"608,873",$124.99M
358,Citizen Kane,(1941),119 min,8.3,100        ,"428,776",$1.59M
359,Seven Samurai,(1954),207 min,8.6,98        ,"334,369",$0.27M
360,Rushmore,(1998),93 min,7.7,86        ,"180,134",$17.11M
361,Groundhog Day,(1993),101 min,8.0,72        ,"602,900",$70.91M
362,Fried Green Tomatoes,(1991),130 min,7.7,64        ,"72,269",$82.42M
363,Rear Window,(1954),112 min,8.5,100        ,"473,626",$36.76M
364,12 Monkeys,(1995),129 min,8.0,74        ,"602,566",$57.14M
